"Matrix","nitrogen","oxygen","ph","phosphorus","temperature","turbidity","electricalconductivity","nitrate","nitrite","salinity","sodium","Season01","Month","Seasonr","PercHighIntens","PercAgri","Region"
"water","*","*","*","*","*","25.4","*","*","*","*","*","dry","11","dry","0.557554028377577","77.3952613874278","North"
"water","*","*","*","*","*","7","*","*","*","*","*","dry","11","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","8.7","7.55","*","24","*","*","*","*","*","*","dry","11","dry","1.14840511162082","84.316574777162","Central"
"water","0.42","10.14","7.55","0.15","18.42","15","*","*","*","*","*","dry","11","dry","1.14840511162082","84.316574777162","Central"
"water","*","8.2","7.82","*","24","*","*","*","*","*","*","dry","11","dry","1.14840511162082","84.316574777162","Central"
"water","1.6145","0.36","7.35","0.71","13.71","15","*","*","*","*","*","dry","11","dry","1.14840511162082","84.316574777162","Central"
"water","1.8","8.03","7.17","0.13","10.95","10","*","*","*","*","*","dry","11","dry","1.14840511162082","84.316574777162","Central"
"water","1.675","7.15","7.81","0.15","17.18","2.8","*","*","*","*","*","dry","11","dry","2.99070155978253","76.522191638251","South"
"water","*","8.4","8.57","*","24","*","*","*","*","*","*","dry","11","dry","2.99070155978253","76.522191638251","South"
"water","*","*","*","*","*","5","*","*","*","*","*","dry","11","dry","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","16.2","*","*","*","*","*","dry","11","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","*","*","*","*","4.8","*","*","*","*","*","dry","11","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","*","*","*","*","11.9","*","*","*","*","*","wet","11","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","*","*","*","*","27.1","*","*","*","*","*","wet","11","dry","0.319532683450454","2.56927814499865","Suisun"
"water","0.615","*","7.5","0.069","13.9","2","*","*","0.03","*","*","dry","11","dry","1.14840511162082","84.316574777162","Central"
"water","0.57","*","7.6","0.06","14.3","9.5","*","*","0.01","*","*","dry","11","dry","5.03726244534141","31.7753006222671","Confluence"
"water","0.635","*","7.6","0.116","14.2","15.3","*","*","0.02","*","*","dry","11","dry","5.03726244534141","31.7753006222671","Confluence"
"water","0.585","*","7.5","0.091","13.8","6.7","*","*","0.02","*","*","dry","11","dry","5.03726244534141","31.7753006222671","Confluence"
"water","0.635","*","7.5","0.079","13.6","9.2","*","*","0.02","*","*","dry","11","dry","0.557554028377577","77.3952613874278","North"
"water","0.915","*","7.7","0.104","13.4","10.4","*","*","0.02","*","*","dry","11","dry","0.557554028377577","77.3952613874278","North"
"water","0.7","*","7.7","0.079","13.9","26.1","*","*","0.03","*","*","dry","11","dry","0.557554028377577","77.3952613874278","North"
"water","0.885","*","7.8","0.283","12.3","59.3","*","*","0","*","*","dry","11","dry","0.557554028377577","77.3952613874278","North"
"water","0.89","*","7.5","0.076","13.3","4.4","*","*","0.01","*","*","dry","11","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","0.635","*","7.5","0.085","12.9","4.3","*","*","0","*","*","dry","11","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","0.79","*","7.3","0.09","12.8","3.4","*","*","0","*","*","dry","11","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","0.305","*","7.7","0.049","12","5.5","*","*","0","*","*","dry","11","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","0.215","10.8","7.7","0.076","11.2","8.4","*","*","0","*","*","dry","11","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","0.975","*","7.7","0.079","13.9","4.9","*","*","0","*","*","dry","11","dry","1.14840511162082","84.316574777162","Central"
"water","0.7","*","7.8","0.057","14.5","1.8","*","*","0.01","*","*","dry","11","dry","1.14840511162082","84.316574777162","Central"
"water","0.87","*","7.7","0.063","13.8","2.4","*","*","0.01","*","*","dry","11","dry","1.14840511162082","84.316574777162","Central"
"water","1.46","*","7.8","0.073","13.8","13.5","*","*","0.01","*","*","dry","11","dry","5.03726244534141","31.7753006222671","Confluence"
"water","0.61","*","7.8","0.076","13.7","14.3","*","*","0.01","*","*","dry","11","dry","5.03726244534141","31.7753006222671","Confluence"
"water","0.97","*","7.8","0.12","13.8","16.8","*","*","0.02","*","*","dry","11","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","8.84","7.6","*","13.1","38","*","*","*","*","*","wet","11","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","0.33","7.09","8.21","0.27","12.4","29","*","*","*","*","*","wet","11","dry","0.557554028377577","77.3952613874278","North"
"water","8.13","9.33","8.28","2.8","10.3","13","*","*","*","*","*","wet","11","dry","0.557554028377577","77.3952613874278","North"
"water","*","*","*","*","*","9.6","*","*","*","*","*","wet","12","dry","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","4.8","*","*","*","*","*","wet","12","dry","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","18.4","*","*","*","*","*","wet","12","dry","0.557554028377577","77.3952613874278","North"
"water","*","*","*","*","*","22.6","*","*","*","*","*","wet","12","dry","0.557554028377577","77.3952613874278","North"
"water","*","*","*","*","*","5.4","*","*","*","*","*","wet","12","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","*","*","*","*","2.6","*","*","*","*","*","wet","12","dry","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","8.2","*","*","*","*","*","wet","12","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","*","*","*","*","6.5","*","*","*","*","*","wet","12","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","*","*","*","*","25.5","*","*","*","*","*","wet","12","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","*","*","*","*","11.6","*","*","*","*","*","wet","12","wet","0.319532683450454","2.56927814499865","Suisun"
"water","0.62","9.9","7.6","0.066","9.3","4.2","*","*","0.01","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","0.695","10.1","7.6","0.077","9.5","6.1","*","*","0.01","*","*","wet","12","wet","5.03726244534141","31.7753006222671","Confluence"
"water","0.71","10.8","7.7","0.071","9.4","17.2","*","*","0.02","*","*","wet","12","wet","5.03726244534141","31.7753006222671","Confluence"
"water","0.74","9.4","7.5","0.071","9.5","12.2","*","*","0.02","*","*","wet","12","wet","5.03726244534141","31.7753006222671","Confluence"
"water","0.655","9.8","7.5","0.077","9.1","8","*","*","0.02","*","*","wet","12","wet","0.557554028377577","77.3952613874278","North"
"water","0.71","10.3","7.8","0.107","8.9","12.5","*","*","0.02","*","*","wet","12","wet","0.557554028377577","77.3952613874278","North"
"water","0.735","10.7","7.8","0.113","8.4","15","*","*","0.01","*","*","wet","12","wet","0.557554028377577","77.3952613874278","North"
"water","1.065","9.2","7.9","0.289","7.5","29.9","*","*","0.01","*","*","wet","12","wet","0.557554028377577","77.3952613874278","North"
"water","0.565","9.9","7.5","0.083","8.9","3.5","*","*","0.01","*","*","wet","12","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.58","10.2","7.4","0.065","9","4","*","*","0.01","*","*","wet","12","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.525","10","7.3","0.077","9","4.5","*","*","0","*","*","wet","12","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.23","10.5","7.5","0.034","8.5","6.4","*","*","0","*","*","wet","12","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.26","11.5","7.7","0.034","8.3","0.7","*","*","0","*","*","wet","12","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","1.81","10.4","7.9","0.174","8.1","6.8","*","*","0.01","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","*","8.3","7.71","*","24","*","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","0.57","12.8","7.56","0.037","10.58","8","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","0.755","9.4","9.6","0.053","9.3","2.6","*","*","0.01","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","1.25","9.8","7.5","0.077","9.7","3.8","*","*","0.01","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","*","7.3","8.58","*","25","*","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","1.52485","0.4","7.62","0.7","5.71","8","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","4.3","10.19","7.26","0.2","10","8.2","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","0.66","9.4","7.8","0.095","9.3","17.5","*","*","0.01","*","*","wet","12","wet","5.03726244534141","31.7753006222671","Confluence"
"water","0.77","8.9","7.8","0.077","8.7","25.1","*","*","0.02","*","*","wet","12","wet","5.03726244534141","31.7753006222671","Confluence"
"water","0.7","9.1","7.8","0.072","9.1","22.2","*","*","0.02","*","*","wet","12","wet","5.03726244534141","31.7753006222671","Confluence"
"water","2.455","11.18","7.73","0.22","7.4","3.2","*","*","*","*","*","wet","12","wet","2.99070155978253","76.522191638251","South"
"water","*","8.4","8.44","*","25","*","*","*","*","*","*","wet","12","wet","2.99070155978253","76.522191638251","South"
"water","0.24","11.9","7.6","0.11","7.09","5.2","201","0.083","0.0042","*","*","wet","12","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.15","11.8","7.7","0.042","7.19","5.1","193","0.092","0.0042","*","*","wet","12","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","11.61","8.78","*","11.33","4.05","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","2.6","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","4.7","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","7.9","*","*","*","*","*","wet","12","wet","0.557554028377577","77.3952613874278","North"
"water","*","*","*","*","*","10.9","*","*","*","*","*","wet","12","wet","0.557554028377577","77.3952613874278","North"
"water","0.485","8.91","6.96","0.19","7.9","19","*","*","*","*","*","wet","12","wet","0.557554028377577","77.3952613874278","North"
"water","4.35","8.21","7.64","1.6","11.6","30","*","*","*","*","*","wet","12","wet","0.557554028377577","77.3952613874278","North"
"water","*","*","*","*","*","6.6","*","*","*","*","*","wet","12","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","6","7.41","*","11.1","24","*","*","*","*","*","wet","12","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","*","*","*","*","2.4","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","11.7","*","*","*","*","*","wet","12","wet","5.03726244534141","31.7753006222671","Confluence"
"water","*","*","*","*","*","17.9","*","*","*","*","*","wet","12","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","*","*","*","*","29.7","*","*","*","*","*","wet","12","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","*","*","*","*","15.1","*","*","*","*","*","wet","12","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","*","*","*","*","2.3","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","7.8","*","*","*","*","*","wet","12","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","*","*","*","*","8.1","*","*","*","*","*","wet","12","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","*","*","*","*","19.5","*","*","*","*","*","wet","12","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","*","*","*","*","16.7","*","*","*","*","*","wet","12","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","*","*","*","*","3.3","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","4","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","7.6","*","*","*","*","*","wet","12","dry","0.557554028377577","77.3952613874278","North"
"water","*","*","*","*","*","11.5","*","*","*","*","*","wet","12","dry","0.557554028377577","77.3952613874278","North"
"water","*","*","*","*","*","6.5","*","*","*","*","*","wet","12","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","1.065","2.18","6.64","0.222","9.2","*","*","*","*","*","*","dry","1","wet","1.14840511162082","84.316574777162","Central"
"water","*","6","7.71","*","16","*","*","*","*","*","*","dry","1","wet","1.14840511162082","84.316574777162","Central"
"water","2.43","1.18","6.69","0.376","9.2","*","*","*","*","*","*","dry","1","wet","1.14840511162082","84.316574777162","Central"
"water","*","10.2","8.19","*","26","*","*","*","*","*","*","dry","1","wet","1.14840511162082","84.316574777162","Central"
"water","0.56","7.04","6.92","0.195","8.4","*","*","*","*","*","*","dry","1","wet","1.14840511162082","84.316574777162","Central"
"water","*","8.2","7.91","*","24","*","*","*","*","*","*","dry","1","wet","1.14840511162082","84.316574777162","Central"
"water","0.685","6.06","7.66","0.137","8.9","*","*","*","*","*","*","wet","1","wet","0.557554028377577","77.3952613874278","North"
"water","*","8.2","7.01","*","24","*","*","*","*","*","*","wet","1","wet","0.557554028377577","77.3952613874278","North"
"water","*","8.5","8.19","*","24","*","*","*","*","*","*","wet","1","wet","1.14840511162082","84.316574777162","Central"
"water","0.835","9.92","7.25","0.093","16.8","16","*","*","*","*","*","wet","1","wet","1.14840511162082","84.316574777162","Central"
"water","4.8","6.69","7.15","0.21","10.85","34","*","*","*","*","*","wet","1","wet","1.14840511162082","84.316574777162","Central"
"water","*","8.2","8.22","*","25","*","*","*","*","*","*","wet","1","wet","1.14840511162082","84.316574777162","Central"
"water","0.795","4.78","7.5","0.28","14.61","35","*","*","*","*","*","wet","1","wet","1.14840511162082","84.316574777162","Central"
"water","*","6.1","7.31","*","26","*","*","*","*","*","*","wet","1","wet","1.14840511162082","84.316574777162","Central"
"water","0.645","2.94","7.35","0.35","10.87","5.3","*","*","*","*","*","wet","1","wet","2.99070155978253","76.522191638251","South"
"water","*","5.8","7.57","*","26","*","*","*","*","*","*","wet","1","wet","2.99070155978253","76.522191638251","South"
"water","0.89","10.9","7.5","0.17","10.4","17","184","0.23","0.0042","*","*","wet","1","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.56","11.2","7.6","0.17","10.2","19","179","0.21","0.0042","*","*","wet","1","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.32","13.3","7.33","0.22","9.9","19","*","*","*","*","*","wet","1","wet","0.557554028377577","77.3952613874278","North"
"water","3.9","*","7.2","1.1","*","280","*","*","*","*","*","wet","1","wet","0.557554028377577","77.3952613874278","North"
"water","*","10.55","7.65","*","10.5","70","*","*","*","*","*","wet","1","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.775","11.3","7.3","0.334","8.6","198","*","*","0.01","*","*","wet","1","wet","1.14840511162082","84.316574777162","Central"
"water","0.695","10.6","7.4","0.062","8.5","287","*","*","0.01","*","*","wet","1","wet","5.03726244534141","31.7753006222671","Confluence"
"water","0.65","9","7.3","0.05","8.4","212","*","*","0.01","*","*","wet","1","wet","5.03726244534141","31.7753006222671","Confluence"
"water","0.85","8.7","7.2","0.359","8.4","204","*","*","0.01","*","*","wet","1","wet","0.557554028377577","77.3952613874278","North"
"water","0.845","10.4","7.5","0.118","8.5","224","*","*","0.01","*","*","wet","1","wet","0.557554028377577","77.3952613874278","North"
"water","1.005","8.9","7.2","0.433","8.3","115","*","*","0.02","*","*","wet","1","wet","0.557554028377577","77.3952613874278","North"
"water","0.975","8.6","7.4","0.106","8.2","378","*","*","0.02","*","*","wet","1","wet","0.557554028377577","77.3952613874278","North"
"water","0.8","8.6","7.3","0.038","8.4","208","*","*","0.01","*","*","wet","1","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.63","8.6","7.3","0.377","8.4","191","*","*","0.01","*","*","wet","1","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.52","9.1","7.3","0.075","8.3","175","*","*","0.01","*","*","wet","1","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.42","8.7","7.3","0.044","8.3","152","*","*","0.01","*","*","wet","1","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.46","9.7","7.1","0.05","8.2","145","*","*","0.01","*","*","wet","1","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","1.415","10.3","7.5","0.155","9.2","37","*","*","0.03","*","*","wet","1","wet","1.14840511162082","84.316574777162","Central"
"water","1.53","8.9","7.5","0.075","9.8","6","*","*","0.03","*","*","wet","1","wet","1.14840511162082","84.316574777162","Central"
"water","2.82","8.4","7.5","0.229","9.8","21","*","*","0.04","*","*","wet","1","wet","1.14840511162082","84.316574777162","Central"
"water","5.45","3.97","6.77","0.302","10.2","*","*","*","*","*","*","wet","1","wet","1.14840511162082","84.316574777162","Central"
"water","*","7.6","7.12","*","24","*","*","*","*","*","*","wet","1","wet","1.14840511162082","84.316574777162","Central"
"water","12.83","2.01","6.37","0.139","10.1","*","*","*","*","*","*","wet","1","wet","1.14840511162082","84.316574777162","Central"
"water","*","5.9","8.13","*","25","*","*","*","*","*","*","wet","1","wet","1.14840511162082","84.316574777162","Central"
"water","4.005","4.12","7.07","0.872","8.5","*","*","*","*","*","*","wet","1","wet","1.14840511162082","84.316574777162","Central"
"water","*","7.1","7.55","*","26","*","*","*","*","*","*","wet","1","wet","1.14840511162082","84.316574777162","Central"
"water","0.77","10.2","7.6","0.064","8.9","63","*","*","0.02","*","*","wet","1","wet","5.03726244534141","31.7753006222671","Confluence"
"water","0.91","9.8","7.7","0.062","9","140","*","*","0.01","*","*","wet","1","wet","5.03726244534141","31.7753006222671","Confluence"
"water","0.965","11","7.6","0.217","9","67","*","*","0.02","*","*","wet","1","wet","5.03726244534141","31.7753006222671","Confluence"
"water","1.115","10.1","7.3","0.234","8.6","118","*","*","0.01","*","*","wet","1","wet","5.03726244534141","31.7753006222671","Confluence"
"water","5.915","6.22","7.08","0.333","8.8","*","*","*","*","*","*","wet","1","wet","0.557554028377577","77.3952613874278","North"
"water","*","8.6","8.13","*","25","*","*","*","*","*","*","wet","1","wet","0.557554028377577","77.3952613874278","North"
"water","*","8.3","7.37","*","25","*","*","*","*","*","*","wet","2","wet","1.14840511162082","84.316574777162","Central"
"water","1.14","7.35","7.32","0.58","10.48","170","*","*","*","*","*","wet","2","wet","1.14840511162082","84.316574777162","Central"
"water","1.7","7.28","7.39","0.18","11.43","12","*","*","*","*","*","wet","2","wet","1.14840511162082","84.316574777162","Central"
"water","*","8.4","7.84","*","24","*","*","*","*","*","*","wet","2","wet","1.14840511162082","84.316574777162","Central"
"water","1.195","5.12","7.24","0.4","12.02","88","*","*","*","*","*","wet","2","wet","1.14840511162082","84.316574777162","Central"
"water","*","8.2","7.28","*","26","*","*","*","*","*","*","wet","2","wet","1.14840511162082","84.316574777162","Central"
"water","*","6.94","7.98","*","25.7","*","*","*","*","*","*","wet","2","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","11.65","7.3","*","10.73","123","*","*","*","*","*","wet","2","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","2.385","7.18","7.62","0.23","14.48","1.2","*","*","*","*","*","wet","2","wet","2.99070155978253","76.522191638251","South"
"water","*","8.5","7.59","*","25","*","*","*","*","*","*","wet","2","wet","2.99070155978253","76.522191638251","South"
"water","*","6.17","8.44","*","24.7","*","*","*","*","30.38","*","wet","2","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","8.81","8.26","*","24.7","*","*","*","*","29.14","*","wet","2","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","6.24","7.91","*","14.3","*","*","*","*","28.69","*","wet","2","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","8.78","8.21","*","24","*","*","*","*","30.44","*","wet","2","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","6.28","8.5","*","24","*","*","*","*","29.12","*","wet","2","wet","0.319532683450454","2.56927814499865","Suisun"
"water","3.015","1.68","6.6","0.237","11.1","*","*","*","*","*","*","wet","2","wet","1.14840511162082","84.316574777162","Central"
"water","*","6.7","7.6","*","24","*","*","*","*","*","*","wet","2","wet","1.14840511162082","84.316574777162","Central"
"water","5.635","1.59","6.48","0.213","10.4","*","*","*","*","*","*","wet","2","wet","1.14840511162082","84.316574777162","Central"
"water","*","6.9","8.21","*","24","*","*","*","*","*","*","wet","2","wet","1.14840511162082","84.316574777162","Central"
"water","1.825","11","6.99","0.394","9.8","*","*","*","*","*","*","wet","2","wet","1.14840511162082","84.316574777162","Central"
